theme,support,baseline_f1,effnet_f1,f1_improvement
Teenage Mutant Ninja Turtles,3,0.0,0.0103896103896103,0.0103896103896103
Dimensions,14,0.0,0.0246913580246913,0.0246913580246913
The LEGO Batman Movie,14,0.0,0.0279187817258883,0.0279187817258883
Juniors,15,0.0,0.032069970845481,0.032069970845481
Miscellaneous,18,0.0,0.0404858299595141,0.0404858299595141
Creator Expert,18,0.0,0.0453808752025931,0.0453808752025931
Gear,25,0.0,0.0536912751677852,0.0536912751677852
Hidden Side,14,0.0,0.0589970501474926,0.0589970501474926
Jurassic World,15,0.0,0.0602409638554216,0.0602409638554216
Speed Champions,19,0.0,0.0603907637655417,0.0603907637655417
Elves,8,0.0,0.0660377358490566,0.0660377358490566
Adventurers,9,0.0,0.0669456066945606,0.0669456066945606
Racers,10,0.0,0.0700389105058365,0.0700389105058365
The LEGO Ninjago Movie,12,0.0,0.0722021660649819,0.0722021660649819
Ideas,35,0.0,0.0738916256157635,0.0738916256157635
